Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Sim.Pins,MF,PACKAGE,PRICE,STANDARD,MP,AVAILABILITY,Height,Arrow Part Number,Arrow Price/Stock,Manufacturer_Name,Manufacturer_Part_Number
1,Unpolarized capacitor,C,C3 C4 C14 C15,27pF,,4, ,,,,,,,,,,,,,
2,Unpolarized capacitor,C,C5 C6 C7 C8 C9 C10 C11 C12 C13 C17 C20 C21 C22 C24,0.1uF,,14, ,,,,,,,,,,,,,
3,Unpolarized capacitor,C,C1 C2,1uF,SOIC-8_3.9x4.9mm_P1.27mm,2, ,,,,,,,,,,,,,
4,Unpolarized capacitor,C,C25,2.2u,,1, ,,,,,,,,,,,,,
5,Unpolarized capacitor,C,C23,4.7u,,1, ,,,,,,,,,,,,,
6,,ESD2CAN24DBZRQ1,CR2,ESD2CAN24DBZRQ1,SOT-23_DBZ_TEX,1, ,ESD2CAN24DBZRQ1,,,,,,,,,,,,
7,Light emitting diode,LED,D1 D2 D3 D4,LED,,4, ,,1=K 2=A,,,,,,,,,,,
8,"Arm? Cortex?-M33 32-bit MCU with FPU, 144 MHz, 593 CoreMark?, 256Kbyte dualbank flash memory, 64-Kbyte RAM, I3C, cryptography",STM32C542CCT6,IC1,STM32C542CCT6,QFP50P900X900X160-48N,1, ,https://www.arrow.com/en/products/stm32c542cct6/stmicroelectronics.html?utm_currency=USD&region=nac,,,,,,,,1.6,STM32C542CCT6,https://www.arrow.com/en/products/stm32c542cct6/stmicroelectronics.html?utm_currency=USD&region=nac,STMicroelectronics,STM32C542CCT6
9,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J2 J3,Conn_01x02,0436500200,2, ,,,,,,,,,,,,,
10,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J6,Conn_01x03,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1, ,,,,,,,,,,,,,
11,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J4 J5,Conn_01x04,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,2, ,,,,,,,,,,,,,
12,"Generic connector, single row, 01x04, script generated",Conn_01x04_Pin,J9,Conn_01x04_Pin,,1, ,,,,,,,,,,,,,
13,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J8,Conn_02x05_Odd_Even,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1, ,,,,,,,,,,,,,
14,Raspberry Pi 4 Model B,Raspberry_Pi_4,J1,Raspberry_Pi_4,PinSocket_2x20_P2.54mm_Vertical,1, ,https://datasheets.raspberrypi.com/rpi4/raspberry-pi-4-datasheet.pdf,,,,,,,,,,,,
15,"Jumper, 2-pole, open",Jumper_2_Open,JP1,Jumper_2_Open,,1, ,,,,,,,,,,,,,
16,"Resistor, small US symbol",R_Small_US,R1,1m,D0008A-IPC_A,1, ,,,,,,,,,,,,,
17,"Resistor, US symbol",R_US,R12 R13,60,,2, ,,,,,,,,,,,,,
18,"Resistor, US symbol",R_US,R7 R9,1K,,2, ,,,,,,,,,,,,,
19,"Resistor, US symbol",R_US,R6 R8,2.2K,,2, ,,,,,,,,,,,,,
20,"Resistor, small US symbol",R_Small_US,R2 R3 R4,4.7k,,3, ,,,,,,,,,,,,,
21,"Resistor, US symbol",R_US,R5 R10,10k,R_Array_SIP4,2, ,,,,,,,,,,,,,
22,"Push button switch, generic, two pins",SW_Push,SW1,SW_Push,SW_NKK_GW12LJP,1, ,,,,,,,,,,,,,
23,"3-in-1 sensor, humidity, pressure, temperature, I2C and SPI interface, 1.71-3.6V, LGA-8",BME280,U2,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1, ,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf,,,,,,,,,,,,
24,,INA237AIDGSR,U3,INA237AIDGSR,VSSOP_IDGSR_TEX,1, ,https://www.ti.com/lit/gpn/ina237,,,,,,,,,,,,
25,,MCP2518FDT-E_QBB,U5,MCP2518FDT-E/QBB,VDFN14_QBB_MCH,1, ,MCP2518FDT-E/QBB,,,,,,,,,,,,
26,"300mA Low-dropout Voltage Regulator, Vout 3.3V, Vin up to 5.5V, SOT-23",MIC5504-3.3YM5,U1,MIC5504-3.3YM5,SOT-23-5,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,,,,,,,,,,,,
27,,TCAN1044VDRQ1,U4 U6,TCAN1044VDRQ1,D0008A-IPC_A,2, ,https://www.ti.com/lit/gpn/tcan1044-q1,,,,,,,,,,,,
28,The sub miniature ECX-32 is a compact SMD Crystal.,ECS-120-18-33-JGN-TR,Y1 Y3,ECS-120-18-33-JGN-TR,XTAL_ECS-120-18-33-JGN-TR,2, ,,,ECS INC,SMD-4 ECX,,Manufacturer recommendations,ECX-32,Good,,,,,





Project info:
Schematic:,X19-Pi-Shield-Board
Variant:,default
Revision:,
Date:,2026-09-24_00-35-25
KiCad Version:,10.0.5-unknown-202607221313~667fa36054~ubuntu25.10.1
Statistics:
Component Groups:,28
Component Count:,58
Fitted Components:,58
Number of PCBs:,1
Total Components:,58
